author_id,lexical_diversity,repeated_ratio,link_ratio,sentiment_polarity,comments_per_day,burstiness_hours,hour_entropy,segment,anomaly_score,anomaly_score_val
1604,0.709,0.0,0.0,0.031,0.045,524.095,2.875,0,1,0.142
4387,1.0,0.0,0.0,0.0,0.006,,0.0,1,1,0.132
5679,0.351,0.003,0.025,0.025,1.138,30.093,4.152,0,1,0.029
7129,0.445,0.004,0.014,0.015,0.785,52.565,4.003,0,1,0.077
9884,0.593,0.051,0.04,0.021,0.276,109.077,3.706,0,1,0.059
10125,0.35,0.018,0.128,0.019,1.56,27.097,4.02,0,-1,-0.012
16887,0.456,0.017,0.0,0.014,0.675,70.393,4.136,0,1,0.072
18203,0.757,0.0,0.0,-0.01,0.064,550.091,3.178,0,1,0.148
20445,0.647,0.0,0.027,-0.001,0.114,249.581,3.624,0,1,0.118
24478,0.291,0.009,0.043,0.021,3.635,20.731,4.042,0,-1,-0.042
24488,0.333,0.005,0.001,0.007,2.033,49.984,4.16,0,1,0.023
24675,0.269,0.012,0.003,0.019,2.099,25.097,4.167,0,1,0.006
25331,0.409,0.004,0.007,0.021,0.755,51.3,3.801,0,1,0.074
25895,0.267,0.006,0.029,0.04,1.459,29.415,3.916,0,1,0.008
26181,0.278,0.013,0.018,0.025,8.262,5.987,4.038,5,-1,-0.094
26760,0.762,0.0,0.0,0.016,0.061,443.907,2.392,0,1,0.154
28445,0.286,0.008,0.044,0.009,4.504,11.821,4.085,0,-1,-0.051
29247,0.328,0.0,0.022,0.023,1.226,37.893,3.817,0,1,0.039
30986,0.761,0.0,0.0,0.108,0.056,604.873,2.585,0,1,0.12
31229,0.412,0.016,0.0,0.012,2.126,20.199,4.205,0,1,0.021
32093,0.426,0.016,0.007,0.019,2.802,52.257,3.974,0,1,0.026
32319,0.59,0.019,0.056,-0.019,0.157,222.801,3.58,0,1,0.078
33912,0.926,0.0,0.0,0.2,0.025,1278.051,1.922,3,1,0.078
34168,0.4,0.004,0.0,0.031,0.654,118.105,3.958,0,1,0.065
35057,0.266,0.032,0.0,0.01,3.267,13.034,3.76,0,-1,-0.013
35775,0.564,0.0,0.0,0.1,0.196,178.508,3.466,0,1,0.099
37692,0.494,0.03,0.015,0.009,0.445,76.362,3.845,0,1,0.081
41893,0.533,0.012,0.023,0.007,0.474,63.816,3.375,0,1,0.092
42046,0.484,0.006,0.012,0.034,0.953,32.019,4.014,0,1,0.076
42230,0.852,0.0,0.0,-0.03,0.064,848.831,2.829,3,1,0.131
43868,0.38,0.032,0.013,-0.003,1.526,31.025,3.953,0,1,0.02
46730,0.651,0.0,0.0,-0.009,0.087,449.984,3.69,0,1,0.131
47520,0.519,0.037,0.021,0.028,0.911,53.778,3.847,0,1,0.064
52279,0.534,0.0,0.005,0.005,0.607,53.72,3.684,0,1,0.112
64471,0.613,0.0,0.014,0.023,0.256,138.277,3.127,0,1,0.134
70828,0.411,0.015,0.034,0.011,1.124,33.524,4.223,0,1,0.032
73163,0.51,0.05,0.0,0.027,0.167,300.768,3.746,0,1,0.064
73577,0.545,0.023,0.0,0.009,0.478,104.309,3.735,0,1,0.096
73944,0.791,0.0,0.0,0.0,0.046,601.575,2.842,0,1,0.152
